"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Norway","Mozambique","2003","2","","2",""
"Norway","Myanmar","2003","199","","199",""
"Norway","Namibia","2003","2","","2",""
"Norway","Nepal","2003","12","","12",""
"Norway","Netherlands","2003","1","","1",""
"Norway","Niger","2003","18","","18",""
"Norway","Nigeria","2003","9","","9",""
"Norway","Pakistan","2003","258","","258",""
"Norway","Peru","2003","15","","15",""
"Norway","Philippines","2003","3","","3",""
"Norway","Rep. of Korea","2003","1","","1",""
"Norway","Rep. of Moldova","2003","28","","28",""
"Norway","Romania","2003","13","","13",""
"Norway","Russian Federation","2003","1204","","1204",""
"Norway","Rwanda","2003","344","","344",""
"Norway","Saudi Arabia","2003","105","","105",""
"Norway","Serbia (and Kosovo: S/RES/1244 (1999))","2003","3884","","3884",""
"Norway","Sierra Leone","2003","112","","112",""
"Norway","Slovakia","2003","15","","15",""
"Norway","Somalia","2003","5633","","5633",""
"Norway","Sri Lanka","2003","1077","","1077",""
"Norway","State of Palestine","2003","10","","10",""
"Norway","Stateless","2003","381","","381",""
"Norway","Sudan","2003","470","","470",""
"Norway","Syrian Arab Rep.","2003","93","","93",""
"Norway","Tajikistan","2003","30","","30",""
"Norway","Thailand","2003","4","","4",""
"Norway","The former Yugoslav Rep. of Macedonia","2003","6","","6",""
"Norway","Togo","2003","22","","22",""
"Norway","Tunisia","2003","21","","21",""
"Norway","Turkey","2003","162","","162",""
"Norway","Turkmenistan","2003","14","","14",""
"Norway","Uganda","2003","45","","45",""
"Norway","Ukraine","2003","73","","73",""
"Norway","United Rep. of Tanzania","2003","5","","5",""
"Norway","Uzbekistan","2003","45","","45",""
"Norway","Various","2003","7034","","7034",""
"Norway","Viet Nam","2003","7","","7",""
"Norway","Yemen","2003","20","","20",""
"Norway","Zambia","2003","12","","12",""
"Norway","Zimbabwe","2003","2","","2",""
"Pakistan","Afghanistan","2003","1123647","1123647","1123647","1123647"
"Pakistan","Algeria","2003","30","30","30","30"
"Pakistan","China","2003","2","2","2","2"
"Pakistan","Ghana","2003","1","1","1","1"
"Pakistan","Iraq","2003","123","123","123","123"
"Pakistan","Islamic Rep. of Iran","2003","112","112","112","112"
"Pakistan","Myanmar","2003","25","25","25","25"
"Pakistan","Rwanda","2003","3","3","3","3"
"Pakistan","Sierra Leone","2003","1","1","1","1"
"Pakistan","Somalia","2003","309","309","309","309"
"Pakistan","State of Palestine","2003","32","32","32","32"
"Pakistan","Sudan","2003","1","1","1","1"
"Pakistan","Syrian Arab Rep.","2003","7","7","7","7"
"Pakistan","Turkey","2003","4","4","4","4"
"Pakistan","Uganda","2003","1","1","1","1"
"Panama","Albania","2003","4","4","4","4"
"Panama","Bosnia and Herzegovina","2003","1","2","1","2"
"Panama","Cameroon","2003","4","","4",""
"Panama","Chad","2003","2","1","2","1"
"Panama","Colombia","2003","860","818","860","818"
"Panama","Croatia","2003","3","","3",""
"Panama","Cuba","2003","72","32","72","32"
"Panama","Ecuador","2003","1","","1",""
"Panama","El Salvador","2003","271","271","271","271"
"Panama","Ethiopia","2003","1","","1",""
"Panama","Guatemala","2003","2","","2",""
"Panama","Haiti","2003","7","","7",""
"Panama","Honduras","2003","1","","1",""
"Panama","Islamic Rep. of Iran","2003","3","","3",""
"Panama","Liberia","2003","3","","3",""
"Panama","Nicaragua","2003","170","","170",""
"Panama","Nigeria","2003","10","","10",""
"Panama","Peru","2003","21","","21",""
"Panama","Rep. of Moldova","2003","1","","1",""
"Panama","Romania","2003","2","2","2","2"
"Panama","Russian Federation","2003","2","2","2","2"
"Panama","Sierra Leone","2003","1","1","1","1"
"Panama","Ukraine","2003","2","2","2","2"
"Panama","United States","2003","1","","1",""
"Papua New Guinea","Indonesia","2003","7491","2491","7491","2491"
"Paraguay","Cuba","2003","11","11","11","11"
"Paraguay","Germany","2003","1","1","1","1"
"Paraguay","Islamic Rep. of Iran","2003","1","1","1","1"
"Paraguay","Russian Federation","2003","8","8","8","8"
"Paraguay","Sierra Leone","2003","1","1","1","1"
"Paraguay","Viet Nam","2003","6","6","6","6"
"Peru","Armenia","2003","1","","1",""
"Peru","Bosnia and Herzegovina","2003","6","","6",""
"Peru","Bulgaria","2003","7","","7",""
"Peru","China","2003","1","","1",""
"Peru","Colombia","2003","24","21","24","21"
"Peru","Cuba","2003","465","15","465","15"
"Peru","Czech Rep.","2003","3","1","3","1"
"Peru","Georgia","2003","2","","2",""
"Peru","Hungary","2003","6","","6",""
"Peru","Iraq","2003","10","6","10","6"
"Peru","Islamic Rep. of Iran","2003","36","2","36","2"
"Peru","Jordan","2003","1","1","1","1"
"Peru","Lithuania","2003","1","1","1","1"
"Peru","Poland","2003","4","","4",""
"Peru","Romania","2003","1","","1",""
"Peru","Russian Federation","2003","19","5","19","5"
"Peru","Serbia (and Kosovo: S/RES/1244 (1999))","2003","122","13","122","13"
"Peru","State of Palestine","2003","5","4","5","4"
"Peru","Syrian Arab Rep.","2003","1","1","1","1"
"Peru","Ukraine","2003","2","1","2","1"
"Peru","Viet Nam","2003","1","","1",""
"Philippines","China","2003","1","","1",""
"Philippines","Dem. Rep. of the Congo","2003","5","","5",""
"Philippines","Ethiopia","2003","5","","5",""
"Philippines","Iraq","2003","24","","24",""
"Philippines","Islamic Rep. of Iran","2003","25","1","25","1"
"Philippines","Liberia","2003","7","","7",""
"Philippines","Nigeria","2003","1","","1",""
"Philippines","Rwanda","2003","7","","7",""
"Philippines","Somalia","2003","6","","6",""
"Philippines","Sri Lanka","2003","4","","4",""
"Philippines","State of Palestine","2003","14","","14",""
"Philippines","Stateless","2003","3","","3",""
"Philippines","Viet Nam","2003","6","","6",""
"Poland","Afghanistan","2003","70","","70",""
"Poland","Albania","2003","1","","1",""
"Poland","Algeria","2003","8","","8",""
"Poland","Angola","2003","3","","3",""
"Poland","Armenia","2003","11","","11",""
"Poland","Azerbaijan","2003","1","","1",""
"Poland","Belarus","2003","69","","69",""
"Poland","Bhutan","2003","4","","4",""
"Poland","Bosnia and Herzegovina","2003","388","","388",""
"Poland","Cameroon","2003","14","","14",""
"Poland","China","2003","2","","2",""
"Poland","Congo","2003","10","","10",""
"Poland","Cuba","2003","5","","5",""
"Poland","Dem. Rep. of the Congo","2003","4","","4",""
"Poland","Eritrea","2003","1","","1",""
"Poland","Ethiopia","2003","26","","26",""
"Poland","Georgia","2003","23","","23",""
"Poland","Guinea","2003","1","","1",""
"Poland","Iraq","2003","37","","37",""
"Poland","Islamic Rep. of Iran","2003","16","","16",""
"Poland","Jordan","2003","1","","1",""
"Poland","Kazakhstan","2003","1","","1",""
"Poland","Kenya","2003","1","","1",""
"Poland","Lao People's Dem. Rep.","2003","10","","10",""
"Poland","Lebanon","2003","18","","18",""
"Poland","Liberia","2003","14","","14",""
"Poland","Libya","2003","1","","1",""
"Poland","Mongolia","2003","2","","2",""
"Poland","Morocco","2003","2","","2",""
"Poland","Myanmar","2003","1","","1",""
"Poland","Nigeria","2003","2","","2",""
"Poland","Pakistan","2003","8","","8",""
"Poland","Rep. of Moldova","2003","1","","1",""
"Poland","Romania","2003","10","","10",""
"Poland","Russian Federation","2003","674","","674",""
"Poland","Rwanda","2003","15","","15",""
"Poland","Serbia (and Kosovo: S/RES/1244 (1999))","2003","23","","23",""
"Poland","Sierra Leone","2003","5","","5",""
"Poland","Somalia","2003","190","","190",""
"Poland","Sri Lanka","2003","74","","74",""
"Poland","Stateless","2003","20","","20",""
"Poland","Sudan","2003","33","","33",""
"Poland","Syrian Arab Rep.","2003","16","","16",""
"Poland","Tajikistan","2003","4","","4",""
"Poland","Turkey","2003","10","","10",""
"Poland","Uzbekistan","2003","2","","2",""
"Poland","Various","2003","3","","3",""
"Poland","Viet Nam","2003","1","","1",""
"Portugal","Afghanistan","2003","5","","5",""
"Portugal","Albania","2003","1","","1",""
"Portugal","Algeria","2003","5","","5",""
"Portugal","Angola","2003","20","","20",""
"Portugal","Argentina","2003","2","","2",""
"Portugal","Armenia","2003","5","","5",""
"Portugal","Belarus","2003","6","","6",""
"Portugal","Bosnia and Herzegovina","2003","3","","3",""
"Portugal","Colombia","2003","10","","10",""
"Portugal","Croatia","2003","6","","6",""
"Portugal","Cuba","2003","12","","12",""
"Portugal","Dem. Rep. of the Congo","2003","14","","14",""
"Portugal","Egypt","2003","1","","1",""
"Portugal","Gambia","2003","1","","1",""
"Portugal","Guinea","2003","3","","3",""
"Portugal","Guinea-Bissau","2003","14","","14",""
"Portugal","India","2003","1","","1",""
"Portugal","Indonesia","2003","1","","1",""
"Portugal","Iraq","2003","4","","4",""
"Portugal","Islamic Rep. of Iran","2003","1","","1",""
"Portugal","Kazakhstan","2003","4","","4",""
"Portugal","Liberia","2003","39","","39",""
"Portugal","Mongolia","2003","6","","6",""
"Portugal","Mozambique","2003","9","","9",""
"Portugal","Nigeria","2003","3","","3",""
"Portugal","Pakistan","2003","1","","1",""
"Portugal","Romania","2003","1","","1",""
"Portugal","Russian Federation","2003","1","","1",""
"Portugal","Rwanda","2003","17","","17",""
"Portugal","Sao Tome and Principe","2003","1","","1",""
"Portugal","Serbia (and Kosovo: S/RES/1244 (1999))","2003","1","","1",""
"Portugal","Sierra Leone","2003","114","","114",""
"Portugal","Sudan","2003","5","","5",""
"Portugal","Various","2003","97","","97",""
"Portugal","Zimbabwe","2003","4","","4",""
"Qatar","Afghanistan","2003","40","40","40","40"
"Qatar","Iraq","2003","6","6","6","6"
"Rep. of Korea","Afghanistan","2003","1","","1",""
"Rep. of Korea","Algeria","2003","2","","2",""
"Rep. of Korea","Cameroon","2003","4","4","4","4"
"Rep. of Korea","Dem. Rep. of the Congo","2003","1","1","1","1"
"Rep. of Korea","Eritrea","2003","1","1","1","1"
"Rep. of Korea","Ethiopia","2003","4","4","4","4"
"Rep. of Korea","Iraq","2003","3","2","3","2"
"Rep. of Korea","Islamic Rep. of Iran","2003","2","2","2","2"
"Rep. of Korea","Myanmar","2003","3","3","3","3"
"Rep. of Korea","Rwanda","2003","2","2","2","2"
"Rep. of Korea","Somalia","2003","2","","2",""
"Rep. of Moldova","Afghanistan","2003","5","5","5","5"
"Rep. of Moldova","Eritrea","2003","1","1","1","1"
"Rep. of Moldova","Iraq","2003","1","1","1","1"
"Rep. of Moldova","Russian Federation","2003","92","92","92","92"
"Rep. of Moldova","Sierra Leone","2003","1","1","1","1"
"Rep. of Moldova","Somalia","2003","1","1","1","1"
"Rep. of Moldova","Sudan","2003","1","1","1","1"
"Romania","Afghanistan","2003","298","17","298","17"
"Romania","Albania","2003","8","2","8","2"
"Romania","Algeria","2003","2","","2",""
"Romania","Angola","2003","2","1","2","1"
"Romania","Armenia","2003","1","1","1","1"
"Romania","Azerbaijan","2003","4","","4",""
"Romania","Bosnia and Herzegovina","2003","5","1","5","1"
"Romania","Burundi","2003","1","","1",""
"Romania","Cameroon","2003","2","9","2","9"
"Romania","Congo","2003","47","18","47","18"
"Romania","Cuba","2003","2","1","2","1"
"Romania","Dem. Rep. of the Congo","2003","22","","22",""
"Romania","Egypt","2003","5","3","5","3"
"Romania","Ethiopia","2003","2","","2",""
"Romania","Georgia","2003","1","1","1","1"
"Romania","Ghana","2003","1","","1",""
"Romania","Guinea","2003","1","1","1","1"
"Romania","India","2003","1","1","1","1"
"Romania","Iraq","2003","489","83","489","83"
"Romania","Islamic Rep. of Iran","2003","154","23","154","23"
"Romania","Israel","2003","1","1","1","1"
"Romania","Jordan","2003","2","2","2","2"
"Romania","Kenya","2003","3","","3",""
"Romania","Lebanon","2003","4","","4",""
"Romania","Libya","2003","1","1","1","1"
"Romania","Mauritania","2003","","1","","1"
"Romania","Morocco","2003","1","","1",""
"Romania","Nigeria","2003","5","1","5","1"
"Romania","Pakistan","2003","4","1","4","1"
"Romania","Russian Federation","2003","15","","15",""
"Romania","Rwanda","2003","","2","","2"
"Romania","Serbia (and Kosovo: S/RES/1244 (1999))","2003","387","14","387","14"
"Romania","Sierra Leone","2003","15","19","15","19"
"Romania","Somalia","2003","397","15","397","15"
"Romania","Sri Lanka","2003","1","4","1","4"
"Romania","State of Palestine","2003","31","4","31","4"
"Romania","Stateless","2003","","1","","1"
"Romania","Sudan","2003","19","10","19","10"
"Romania","Syrian Arab Rep.","2003","21","1","21","1"
"Romania","The former Yugoslav Rep. of Macedonia","2003","1","","1",""
"Romania","Tunisia","2003","1","","1",""
"Romania","Turkey","2003","53","18","53","18"
"Romania","Yemen","2003","1","1","1","1"
"Russian Federation","Afghanistan","2003","1541","1541","1541","1541"
"Russian Federation","Armenia","2003","87","87","87","87"
"Russian Federation","Azerbaijan","2003","263","263","263","263"
"Russian Federation","Estonia","2003","10","10","10","10"
"Russian Federation","Ethiopia","2003","10","10","10","10"
"Russian Federation","Georgia","2003","6527","6527","6527","6527"
"Russian Federation","Kazakhstan","2003","328","328","328","328"
"Russian Federation","Kyrgyzstan","2003","64","64","64","64"
"Russian Federation","Latvia","2003","20","20","20","20"
"Russian Federation","Lithuania","2003","8","8","8","8"
"Russian Federation","Rep. of Moldova","2003","62","62","62","62"
"Russian Federation","Sierra Leone","2003","1","1","1","1"
"Russian Federation","Somalia","2003","7","7","7","7"
"Russian Federation","Sudan","2003","5","5","5","5"
"Russian Federation","Tajikistan","2003","593","593","593","593"
"Russian Federation","Turkmenistan","2003","56","56","56","56"
"Russian Federation","Ukraine","2003","1","1","1","1"
"Russian Federation","Uzbekistan","2003","281","281","281","281"
"Russian Federation","Various","2003","35","35","35","35"
"Rwanda","Burundi","2003","1841","1841","1841","1841"
"Rwanda","Chad","2003","9","9","9","9"
"Rwanda","Dem. Rep. of the Congo","2003","34725","34725","34725","34725"
"Rwanda","Ethiopia","2003","23","23","23","23"
"Rwanda","Uganda","2003","10","10","10","10"
"Saudi Arabia","Afghanistan","2003","107","107","107","107"
"Saudi Arabia","China","2003","1","1","1","1"
"Saudi Arabia","Eritrea","2003","6","6","6","6"
"Saudi Arabia","Iraq","2003","706","706","706","706"
"Saudi Arabia","Somalia","2003","12","12","12","12"
"Saudi Arabia","State of Palestine","2003","240000","","240000",""
"Saudi Arabia","Sudan","2003","2","2","2","2"
"Saudi Arabia","Syrian Arab Rep.","2003","1","1","1","1"
"Senegal","Algeria","2003","9","9","9","9"
"Senegal","Angola","2003","1","1","1","1"
"Senegal","Burundi","2003","72","72","72","72"
"Senegal","Cameroon","2003","9","9","9","9"
"Senegal","Central African Rep.","2003","3","3","3","3"
"Senegal","Chad","2003","27","27","27","27"
"Senegal","Congo","2003","22","22","22","22"
"Senegal","Côte d'Ivoire","2003","7","7","7","7"
"Senegal","Dem. Rep. of the Congo","2003","21","21","21","21"
"Senegal","Ethiopia","2003","1","1","1","1"
"Senegal","Gambia","2003","14","14","14","14"
"Senegal","Ghana","2003","2","2","2","2"
"Senegal","Guinea","2003","2","2","2","2"
"Senegal","Liberia","2003","249","249","249","249"
"Senegal","Mauritania","2003","19777","19777","19777","19777"
"Senegal","Nigeria","2003","8","8","8","8"
"Senegal","Rwanda","2003","306","306","306","306"
"Senegal","Sierra Leone","2003","189","189","189","189"
"Senegal","Somalia","2003","7","7","7","7"
"Serbia (and Kosovo: S/RES/1244 (1999))","Afghanistan","2003","2","2","2","2"
"Serbia (and Kosovo: S/RES/1244 (1999))","Bosnia and Herzegovina","2003","99785","99785","99785","99785"
"Serbia (and Kosovo: S/RES/1244 (1999))","Croatia","2003","189746","189746","189746","189746"
"Serbia (and Kosovo: S/RES/1244 (1999))","Eritrea","2003","1","1","1","1"
"Serbia (and Kosovo: S/RES/1244 (1999))","Ethiopia","2003","1","1","1","1"
"Serbia (and Kosovo: S/RES/1244 (1999))","Iraq","2003","17","17","17","17"
"Serbia (and Kosovo: S/RES/1244 (1999))","Russian Federation","2003","9","9","9","9"
"Serbia (and Kosovo: S/RES/1244 (1999))","Slovenia","2003","437","437","437","437"
"Serbia (and Kosovo: S/RES/1244 (1999))","Sudan","2003","1","1","1","1"
"Serbia (and Kosovo: S/RES/1244 (1999))","The former Yugoslav Rep. of Macedonia","2003","1403","1403","1403","1403"
"Serbia (and Kosovo: S/RES/1244 (1999))","Turkey","2003","1","1","1","1"
"Sierra Leone","Chad","2003","1","1","1","1"
"Sierra Leone","Equatorial Guinea","2003","1","1","1","1"
"Sierra Leone","Liberia","2003","61192","61192","61192","61192"
"Singapore","China","2003","1","1","1","1"
"Slovakia","Afghanistan","2003","165","165","165","165"
"Slovakia","Algeria","2003","1","1","1","1"
"Slovakia","Angola","2003","19","19","19","19"
"Slovakia","Armenia","2003","9","9","9","9"
"Slovakia","Azerbaijan","2003","1","1","1","1"
"Slovakia","Bosnia and Herzegovina","2003","36","36","36","36"
"Slovakia","Bulgaria","2003","8","8","8","8"
"Slovakia","Cameroon","2003","3","3","3","3"
"Slovakia","China","2003","1","1","1","1"
"Slovakia","Congo","2003","7","7","7","7"
"Slovakia","Dem. Rep. of the Congo","2003","5","5","5","5"
"Slovakia","Ethiopia","2003","1","1","1","1"
"Slovakia","India","2003","1","1","1","1"
"Slovakia","Iraq","2003","43","43","43","43"
"Slovakia","Islamic Rep. of Iran","2003","2","2","2","2"
"Slovakia","Israel","2003","1","1","1","1"
"Slovakia","Liberia","2003","3","3","3","3"
"Slovakia","Madagascar","2003","1","1","1","1"
"Slovakia","Pakistan","2003","3","3","3","3"
"Slovakia","Romania","2003","31","31","31","31"
"Slovakia","Russian Federation","2003","17","17","17","17"
"Slovakia","Serbia (and Kosovo: S/RES/1244 (1999))","2003","34","34","34","34"
"Slovakia","Somalia","2003","13","13","13","13"
"Slovakia","United Rep. of Tanzania","2003","2","2","2","2"
"Slovakia","Uzbekistan","2003","3","3","3","3"
